date,facility_id,facility_name,facility_type,latitude,longitude,medicine_id,medicine_name,opening_stock,received_quantity,dispensed_quantity,closing_stock,days_since_restock,stockout_next_3_days
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M008,ORS,446,0,72,374,2,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M009,Ibuprofen 400mg,300,0,62,238,5,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M010,Atorvastatin 10mg,116,0,21,95,6,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M001,Paracetamol 500mg,313,0,98,215,2,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M002,Amoxicillin 500mg,225,0,62,163,4,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M003,Metformin 500mg,232,0,36,196,3,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M004,Amlodipine 5mg,225,0,33,192,5,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M005,Azithromycin 500mg,124,0,39,85,5,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M006,Cetirizine 10mg,182,0,48,134,6,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M007,Omeprazole 20mg,187,0,33,154,3,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M008,ORS,342,0,81,261,6,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M009,Ibuprofen 400mg,215,0,46,169,2,0
2024-01-01,F004,Synthetic CHC F004,CHC,13.035,77.597,M010,Atorvastatin 10mg,97,0,20,77,4,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M001,Paracetamol 500mg,460,0,100,360,6,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M002,Amoxicillin 500mg,282,0,43,239,4,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M003,Metformin 500mg,255,0,50,205,5,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M004,Amlodipine 5mg,261,0,34,227,4,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M005,Azithromycin 500mg,161,0,36,125,6,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M006,Cetirizine 10mg,268,0,49,219,4,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M007,Omeprazole 20mg,241,0,39,202,4,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M008,ORS,418,0,100,318,3,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M009,Ibuprofen 400mg,272,0,61,211,2,0
2024-01-01,F005,Synthetic CHC F005,CHC,12.91,77.62,M010,Atorvastatin 10mg,97,0,25,72,3,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M001,Paracetamol 500mg,331,0,90,241,4,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M002,Amoxicillin 500mg,167,0,55,112,3,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M003,Metformin 500mg,311,0,42,269,4,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M004,Amlodipine 5mg,179,0,48,131,6,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M005,Azithromycin 500mg,115,0,18,97,5,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M006,Cetirizine 10mg,138,0,42,96,2,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M007,Omeprazole 20mg,183,0,44,139,6,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M008,ORS,346,0,40,306,5,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M009,Ibuprofen 400mg,240,0,64,176,4,0
2024-01-01,F006,Synthetic CHC F006,CHC,12.89,77.55,M010,Atorvastatin 10mg,138,0,24,114,4,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M001,Paracetamol 500mg,281,0,45,236,6,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M002,Amoxicillin 500mg,141,0,26,115,4,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M003,Metformin 500mg,123,0,32,91,5,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M004,Amlodipine 5mg,66,0,20,46,5,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M005,Azithromycin 500mg,84,0,21,63,6,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M006,Cetirizine 10mg,80,0,26,54,4,1
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M007,Omeprazole 20mg,109,0,21,88,6,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M008,ORS,238,0,30,208,3,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M009,Ibuprofen 400mg,177,0,34,143,3,0
2024-01-01,F007,Synthetic PHC F007,PHC,13.05,77.65,M010,Atorvastatin 10mg,83,0,9,74,4,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M001,Paracetamol 500mg,159,0,36,123,6,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M002,Amoxicillin 500mg,104,0,27,77,6,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M003,Metformin 500mg,100,0,11,89,4,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M004,Amlodipine 5mg,104,0,14,90,5,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M005,Azithromycin 500mg,95,0,14,81,3,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M006,Cetirizine 10mg,96,0,17,79,5,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M007,Omeprazole 20mg,87,0,15,72,6,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M008,ORS,146,0,25,121,2,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M009,Ibuprofen 400mg,103,0,24,79,3,0
2024-01-01,F008,Synthetic PHC F008,PHC,12.96,77.51,M010,Atorvastatin 10mg,45,0,10,35,4,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M001,Paracetamol 500mg,249,0,41,208,4,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M002,Amoxicillin 500mg,150,0,24,126,3,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M003,Metformin 500mg,141,0,29,112,4,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M004,Amlodipine 5mg,129,0,20,109,3,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M005,Azithromycin 500mg,94,0,14,80,6,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M006,Cetirizine 10mg,80,0,21,59,5,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M007,Omeprazole 20mg,86,0,26,60,4,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M008,ORS,281,0,42,239,2,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M009,Ibuprofen 400mg,134,0,31,103,6,0
2024-01-01,F009,Synthetic PHC F009,PHC,13.1,77.58,M010,Atorvastatin 10mg,95,0,19,76,5,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M001,Paracetamol 500mg,210,0,27,183,3,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M002,Amoxicillin 500mg,94,0,21,73,5,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M003,Metformin 500mg,72,0,26,46,5,1
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M004,Amlodipine 5mg,79,0,12,67,6,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M005,Azithromycin 500mg,78,0,14,64,6,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M006,Cetirizine 10mg,81,0,12,69,5,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M007,Omeprazole 20mg,86,0,11,75,2,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M008,ORS,111,0,28,83,6,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M009,Ibuprofen 400mg,124,0,21,103,3,0
2024-01-01,F010,Synthetic PHC F010,PHC,12.87,77.6,M010,Atorvastatin 10mg,54,0,10,44,4,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M001,Paracetamol 500mg,293,0,46,247,6,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M002,Amoxicillin 500mg,142,0,35,107,5,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M003,Metformin 500mg,148,0,39,109,4,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M004,Amlodipine 5mg,130,0,18,112,3,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M005,Azithromycin 500mg,67,0,15,52,2,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M006,Cetirizine 10mg,98,0,17,81,5,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M007,Omeprazole 20mg,133,0,17,116,5,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M008,ORS,219,0,40,179,3,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M009,Ibuprofen 400mg,115,0,26,89,4,0
2024-01-01,F011,Synthetic PHC F011,PHC,13.01,77.7,M010,Atorvastatin 10mg,92,0,14,78,6,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M001,Paracetamol 500mg,222,0,41,181,3,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M002,Amoxicillin 500mg,100,0,20,80,4,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M003,Metformin 500mg,141,0,28,113,5,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M004,Amlodipine 5mg,67,0,17,50,3,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M005,Azithromycin 500mg,71,0,9,62,2,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M006,Cetirizine 10mg,89,0,17,72,3,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M007,Omeprazole 20mg,96,0,17,79,2,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M008,ORS,176,0,31,145,6,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M009,Ibuprofen 400mg,122,0,29,93,2,0
2024-01-01,F012,Synthetic PHC F012,PHC,12.94,77.68,M010,Atorvastatin 10mg,74,0,8,66,6,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M001,Paracetamol 500mg,207,0,30,177,4,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M002,Amoxicillin 500mg,86,0,18,68,2,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M003,Metformin 500mg,133,0,14,119,6,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M004,Amlodipine 5mg,75,0,17,58,5,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M005,Azithromycin 500mg,76,0,15,61,3,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M006,Cetirizine 10mg,108,0,15,93,5,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M007,Omeprazole 20mg,107,0,21,86,2,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M008,ORS,199,0,43,156,3,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M009,Ibuprofen 400mg,94,0,26,68,3,0
2024-01-01,F013,Synthetic PHC F013,PHC,12.85,77.66,M010,Atorvastatin 10mg,66,0,10,56,6,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M001,Paracetamol 500mg,225,0,39,186,4,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M002,Amoxicillin 500mg,105,0,20,85,2,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M003,Metformin 500mg,107,0,31,76,2,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M004,Amlodipine 5mg,120,0,14,106,5,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M005,Azithromycin 500mg,64,0,16,48,5,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M006,Cetirizine 10mg,116,0,27,89,6,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M007,Omeprazole 20mg,98,0,21,77,5,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M008,ORS,230,0,53,177,2,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M009,Ibuprofen 400mg,123,0,36,87,2,0
2024-01-01,F014,Synthetic PHC F014,PHC,13.08,77.52,M010,Atorvastatin 10mg,67,0,17,50,5,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M001,Paracetamol 500mg,153,0,34,119,5,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M002,Amoxicillin 500mg,122,0,23,99,4,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M003,Metformin 500mg,148,0,29,119,6,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M004,Amlodipine 5mg,76,0,27,49,5,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M005,Azithromycin 500mg,86,0,15,71,6,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M006,Cetirizine 10mg,78,0,19,59,4,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M007,Omeprazole 20mg,107,0,15,92,6,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M008,ORS,161,0,20,141,5,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M009,Ibuprofen 400mg,107,0,24,83,2,0
2024-01-01,F015,Synthetic PHC F015,PHC,12.99,77.47,M010,Atorvastatin 10mg,46,0,7,39,4,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M001,Paracetamol 500mg,190,0,37,153,2,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M002,Amoxicillin 500mg,73,0,17,56,3,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M003,Metformin 500mg,72,0,26,46,4,1
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M004,Amlodipine 5mg,74,0,9,65,4,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M005,Azithromycin 500mg,72,0,17,55,6,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M006,Cetirizine 10mg,56,0,20,36,5,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M007,Omeprazole 20mg,87,0,18,69,5,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M008,ORS,99,0,35,64,5,1
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M009,Ibuprofen 400mg,73,0,15,58,4,0
2024-01-01,F016,Synthetic PHC F016,PHC,12.9,77.73,M010,Atorvastatin 10mg,50,0,9,41,6,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M001,Paracetamol 500mg,306,0,58,248,6,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M002,Amoxicillin 500mg,119,0,31,88,2,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M003,Metformin 500mg,168,0,45,123,6,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M004,Amlodipine 5mg,129,0,29,100,6,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M005,Azithromycin 500mg,113,0,25,88,4,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M006,Cetirizine 10mg,184,0,23,161,3,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M007,Omeprazole 20mg,185,0,16,169,4,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M008,ORS,240,0,43,197,2,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M009,Ibuprofen 400mg,226,0,37,189,4,0
2024-01-01,F017,Synthetic Pharmacy F017,Pharmacy,12.975,77.605,M010,Atorvastatin 10mg,103,0,10,93,5,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M001,Paracetamol 500mg,183,0,32,151,2,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M002,Amoxicillin 500mg,132,0,28,104,6,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M003,Metformin 500mg,204,0,27,177,4,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M004,Amlodipine 5mg,150,0,24,126,5,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M005,Azithromycin 500mg,93,0,16,77,5,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M006,Cetirizine 10mg,153,0,27,126,3,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M007,Omeprazole 20mg,137,0,25,112,2,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M008,ORS,216,0,41,175,6,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M009,Ibuprofen 400mg,213,0,12,201,2,0
2024-01-01,F018,Synthetic Pharmacy F018,Pharmacy,12.935,77.615,M010,Atorvastatin 10mg,64,0,15,49,5,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M001,Paracetamol 500mg,266,0,67,199,2,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M002,Amoxicillin 500mg,236,0,35,201,5,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M003,Metformin 500mg,250,0,35,215,4,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M004,Amlodipine 5mg,114,0,20,94,6,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M005,Azithromycin 500mg,135,0,25,110,3,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M006,Cetirizine 10mg,133,0,25,108,4,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M007,Omeprazole 20mg,109,0,18,91,4,1
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M008,ORS,373,0,51,322,4,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M009,Ibuprofen 400mg,159,0,28,131,2,0
2024-01-01,F019,Synthetic Pharmacy F019,Pharmacy,13.025,77.545,M010,Atorvastatin 10mg,98,0,21,77,4,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M001,Paracetamol 500mg,233,0,24,209,5,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M002,Amoxicillin 500mg,136,0,19,117,6,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M003,Metformin 500mg,188,0,24,164,2,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M004,Amlodipine 5mg,83,0,16,67,2,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M005,Azithromycin 500mg,127,0,15,112,4,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M006,Cetirizine 10mg,117,0,24,93,2,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M007,Omeprazole 20mg,141,0,13,128,5,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M008,ORS,165,0,47,118,6,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M009,Ibuprofen 400mg,124,0,22,102,4,0
2024-01-01,F020,Synthetic Pharmacy F020,Pharmacy,12.915,77.675,M010,Atorvastatin 10mg,59,0,17,42,3,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M001,Paracetamol 500mg,695,0,110,585,3,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M002,Amoxicillin 500mg,355,0,69,286,5,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M003,Metformin 500mg,537,0,89,448,7,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M004,Amlodipine 5mg,320,0,52,268,7,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M005,Azithromycin 500mg,323,0,50,273,6,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M006,Cetirizine 10mg,211,0,55,156,6,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M007,Omeprazole 20mg,334,0,54,280,7,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M008,ORS,453,0,137,316,6,1
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M009,Ibuprofen 400mg,336,0,85,251,4,0
2024-01-02,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M010,Atorvastatin 10mg,138,0,50,88,3,1
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M001,Paracetamol 500mg,636,0,144,492,6,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M002,Amoxicillin 500mg,187,0,82,105,6,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M003,Metformin 500mg,259,0,78,181,4,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M004,Amlodipine 5mg,190,0,71,119,3,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M005,Azithromycin 500mg,273,0,42,231,7,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M006,Cetirizine 10mg,239,0,65,174,6,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M007,Omeprazole 20mg,323,0,40,283,4,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M008,ORS,549,0,98,451,6,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M009,Ibuprofen 400mg,336,0,97,239,3,0
2024-01-02,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M010,Atorvastatin 10mg,109,0,37,72,4,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M001,Paracetamol 500mg,415,0,73,342,4,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M002,Amoxicillin 500mg,221,0,46,175,3,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M003,Metformin 500mg,312,0,49,263,7,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M004,Amlodipine 5mg,172,0,26,146,5,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M005,Azithromycin 500mg,158,0,32,126,7,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M006,Cetirizine 10mg,189,0,36,153,5,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M007,Omeprazole 20mg,99,0,50,49,3,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M008,ORS,374,0,45,329,3,0
2024-01-02,F003,Synthetic CHC F003,CHC,12.98,77.64,M009,Ibuprofen 400mg,238,0,60,178,6,0
